Freq.	V(vout2)/I(vs)
4.16869383470335e-002	(6.03071185462151e+001dB,1.78348951427479e+002°)
4.26579518801592e-002	(6.03072289334229e+001dB,1.78310506049826e+002°)
4.36515832240165e-002	(6.03073445198870e+001dB,1.78271166056699e+002°)
4.46683592150962e-002	(6.03074655498500e+001dB,1.78230910673602e+002°)
4.57088189614874e-002	(6.03075922799782e+001dB,1.78189718646682e+002°)
4.67735141287197e-002	(6.03077249784600e+001dB,1.78147568231920e+002°)
4.78630092322637e-002	(6.03078639255946e+001dB,1.78104437184042e+002°)
4.89778819368445e-002	(6.03080094164999e+001dB,1.78060302745158e+002°)
5.01187233627271e-002	(6.03081617580209e+001dB,1.78015141633378e+002°)
5.12861383991364e-002	(6.03083212732986e+001dB,1.77968930030813e+002°)
5.24807460249771e-002	(6.03084882992490e+001dB,1.77921643571793e+002°)
5.37031796370252e-002	(6.03086631893915e+001dB,1.77873257330394e+002°)
5.49540873857623e-002	(6.03088463134994e+001dB,1.77823745808043e+002°)
5.62341325190348e-002	(6.03090380590689e+001dB,1.77773082920639e+002°)
5.75439937337156e-002	(6.03092388310435e+001dB,1.77721241985628e+002°)
5.88843655355588e-002	(6.03094490545951e+001dB,1.77668195708622e+002°)
6.02559586074356e-002	(6.03096691735655e+001dB,1.77613916169887e+002°)
6.16595001861481e-002	(6.03098996534763e+001dB,1.77558374810526e+002°)
6.30957344480192e-002	(6.03101409812908e+001dB,1.77501542418305e+002°)
6.45654229034654e-002	(6.03103936663992e+001dB,1.77443389113406e+002°)
6.60693448007594e-002	(6.03106582434750e+001dB,1.77383884333615e+002°)
6.76082975391980e-002	(6.03109352699694e+001dB,1.77322996819732e+002°)
6.91830970918935e-002	(6.03112253324277e+001dB,1.77260694599845e+002°)
7.07945784384136e-002	(6.03115290421171e+001dB,1.77196944974459e+002°)
7.24435960074988e-002	(6.03118470401265e+001dB,1.77131714500281e+002°)
7.41310241300916e-002	(6.03121799978323e+001dB,1.77064968974374e+002°)
7.58577575029182e-002	(6.03125286172215e+001dB,1.76996673417829e+002°)
7.76247116628690e-002	(6.03128936335236e+001dB,1.76926792059125e+002°)
7.94328234724279e-002	(6.03132758169991e+001dB,1.76855288317235e+002°)
8.12830516164097e-002	(6.03136759723102e+001dB,1.76782124784506e+002°)
8.31763771102669e-002	(6.03140949434778e+001dB,1.76707263209165e+002°)
8.51138038202374e-002	(6.03145336123780e+001dB,1.76630664477622e+002°)
8.70963589956078e-002	(6.03149929036577e+001dB,1.76552288596369e+002°)
8.91250938133743e-002	(6.03154737833662e+001dB,1.76472094673819e+002°)
9.12010839355907e-002	(6.03159772636190e+001dB,1.76390040901765e+002°)
9.33254300796988e-002	(6.03165044038134e+001dB,1.76306084536449e+002°)
9.54992586021433e-002	(6.03170563127973e+001dB,1.76220181879457e+002°)
9.77237220955808e-002	(6.03176341494282e+001dB,1.76132288258652e+002°)
9.99999999999997e-002	(6.03182391286147e+001dB,1.76042358008363e+002°)
1.02329299228075e-001	(6.03188725207736e+001dB,1.75950344449570e+002°)
1.04712854805090e-001	(6.03195356557654e+001dB,1.75856199870007e+002°)
1.07151930523760e-001	(6.03202299240232e+001dB,1.75759875503798e+002°)
1.09647819614318e-001	(6.03209567823859e+001dB,1.75661321510966e+002°)
1.12201845430196e-001	(6.03217177536824e+001dB,1.75560486956962e+002°)
1.14815362149688e-001	(6.03225144317115e+001dB,1.75457319791624e+002°)
1.17489755493953e-001	(6.03233484846617e+001dB,1.75351766828240e+002°)
1.20226443461741e-001	(6.03242216576264e+001dB,1.75243773722445e+002°)
1.23026877081238e-001	(6.03251357758223e+001dB,1.75133284951037e+002°)
1.25892541179416e-001	(6.03260927492245e+001dB,1.75020243790537e+002°)
1.28824955169313e-001	(6.03270945764551e+001dB,1.74904592295649e+002°)
1.31825673855640e-001	(6.03281433468579e+001dB,1.74786271278169e+002°)
1.34896288259165e-001	(6.03292412469739e+001dB,1.74665220285003e+002°)
1.38038426460288e-001	(6.03303905643845e+001dB,1.74541377577013e+002°)
1.41253754462275e-001	(6.03315936903333e+001dB,1.74414680107627e+002°)
1.44543977074592e-001	(6.03328531268925e+001dB,1.74285063501274e+002°)
1.47910838816820e-001	(6.03341714900281e+001dB,1.74152462032419e+002°)
1.51356124843620e-001	(6.03355515163465e+001dB,1.74016808604215e+002°)
1.54881661891248e-001	(6.03369960666196e+001dB,1.73878034728148e+002°)
1.58489319246111e-001	(6.03385081327002e+001dB,1.73736070503161e+002°)
1.62181009735892e-001	(6.03400908426037e+001dB,1.73590844595400e+002°)
1.65958690743755e-001	(6.03417474663300e+001dB,1.73442284218714e+002°)
1.69824365246174e-001	(6.03434814228297e+001dB,1.73290315115221e+002°)
1.73780082874937e-001	(6.03452962857706e+001dB,1.73134861536187e+002°)
1.77827941003892e-001	(6.03471957911411e+001dB,1.72975846224139e+002°)
1.81970085860998e-001	(6.03491838418627e+001dB,1.72813190395344e+002°)
1.86208713666286e-001	(6.03512645185618e+001dB,1.72646813722851e+002°)
1.90546071796324e-001	(6.03534420850164e+001dB,1.72476634320546e+002°)
1.94984459975804e-001	(6.03557209958925e+001dB,1.72302568728469e+002°)
1.99526231496887e-001	(6.03581059048217e+001dB,1.72124531898939e+002°)
2.04173794466952e-001	(6.03606016739901e+001dB,1.71942437183658e+002°)
2.08929613085403e-001	(6.03632133816459e+001dB,1.71756196322638e+002°)
2.13796208950222e-001	(6.03659463322611e+001dB,1.71565719433755e+002°)
2.18776162394954e-001	(6.03688060643763e+001dB,1.71370915005181e+002°)
2.23872113856833e-001	(6.03717983608058e+001dB,1.71171689888042e+002°)
2.29086765276776e-001	(6.03749292601582e+001dB,1.70967949291935e+002°)
2.34422881531991e-001	(6.03782050651181e+001dB,1.70759596782082e+002°)
2.39883291901948e-001	(6.03816323533603e+001dB,1.70546534279232e+002°)
2.45470891568502e-001	(6.03852179895397e+001dB,1.70328662060900e+002°)
2.51188643150957e-001	(6.03889691365356e+001dB,1.70105878765948e+002°)
