frequency	V(onoise)	V(r1)
1.174897554939527e+000	8.900168e-007	8.037983e-007
1.202264434617410e+000	8.890750e-007	8.037983e-007
1.230268770812378e+000	8.881535e-007	8.037983e-007
1.258925411794164e+000	8.872522e-007	8.037983e-007
1.288249551693131e+000	8.863704e-007	8.037983e-007
1.318256738556404e+000	8.855079e-007	8.037983e-007
1.348962882591650e+000	8.846642e-007	8.037983e-007
1.380384264602881e+000	8.838389e-007	8.037983e-007
1.412537544622750e+000	8.830318e-007	8.037983e-007
1.445439770745923e+000	8.822422e-007	8.037983e-007
1.479108388168203e+000	8.814699e-007	8.037983e-007
1.513561248436204e+000	8.807145e-007	8.037983e-007
1.548816618912477e+000	8.799758e-007	8.037983e-007
1.584893192461109e+000	8.792532e-007	8.037983e-007
1.621810097358925e+000	8.785465e-007	8.037983e-007
1.659586907437555e+000	8.778554e-007	8.037983e-007
1.698243652461739e+000	8.771794e-007	8.037983e-007
1.737800828749370e+000	8.765184e-007	8.037983e-007
1.778279410038917e+000	8.758719e-007	8.037983e-007
1.819700858609977e+000	8.752396e-007	8.037983e-007
1.862087136662861e+000	8.746213e-007	8.037983e-007
1.905460717963241e+000	8.740167e-007	8.037983e-007
1.949844599758039e+000	8.734254e-007	8.037983e-007
1.995262314968873e+000	8.728472e-007	8.037983e-007
2.041737944669523e+000	8.722818e-007	8.037983e-007
2.089296130854033e+000	8.717289e-007	8.037983e-007
2.137962089502225e+000	8.711882e-007	8.037983e-007
2.187761623949545e+000	8.706596e-007	8.037983e-007
2.238721138568332e+000	8.701426e-007	8.037983e-007
2.290867652767766e+000	8.696371e-007	8.037983e-007
2.344228815319914e+000	8.691429e-007	8.037983e-007
2.398832919019482e+000	8.686596e-007	8.037983e-007
2.454708915685022e+000	8.681870e-007	8.037983e-007
2.511886431509572e+000	8.677250e-007	8.037983e-007
2.570395782768855e+000	8.672732e-007	8.037983e-007
2.630267991895373e+000	8.668316e-007	8.037983e-007
2.691534803926906e+000	8.663997e-007	8.037983e-007
2.754228703338157e+000	8.659775e-007	8.037983e-007
2.818382931264444e+000	8.655646e-007	8.037983e-007
2.884031503126595e+000	8.651610e-007	8.037983e-007
2.951209226666375e+000	8.647664e-007	8.037983e-007
3.019951720402005e+000	8.643806e-007	8.037983e-007
3.090295432513579e+000	8.640034e-007	8.037983e-007
3.162277660168367e+000	8.636346e-007	8.037983e-007
3.235936569296270e+000	8.632741e-007	8.037983e-007
3.311311214825898e+000	8.629216e-007	8.037983e-007
3.388441561392012e+000	8.625771e-007	8.037983e-007
3.467368504525302e+000	8.622402e-007	8.037983e-007
3.548133892335740e+000	8.619109e-007	8.037983e-007
3.630780547700999e+000	8.615889e-007	8.037983e-007
3.715352290971711e+000	8.612742e-007	8.037983e-007
3.801893963205597e+000	8.609665e-007	8.037983e-007
3.890451449942790e+000	8.606657e-007	8.037982e-007
3.981071705534956e+000	8.603716e-007	8.037982e-007
4.073802778041110e+000	8.600842e-007	8.037982e-007
4.168693834703337e+000	8.598032e-007	8.037982e-007
4.265795188015909e+000	8.595285e-007	8.037982e-007
4.365158322401642e+000	8.592600e-007	8.037982e-007
4.466835921509612e+000	8.589975e-007	8.037982e-007
4.570881896148731e+000	8.587409e-007	8.037982e-007
4.677351412871962e+000	8.584901e-007	8.037982e-007
4.786300923226363e+000	8.582449e-007	8.037982e-007
4.897788193684440e+000	8.580052e-007	8.037982e-007
5.011872336272701e+000	8.577709e-007	8.037982e-007
5.128613839913625e+000	8.575419e-007	8.037982e-007
5.248074602497702e+000	8.573180e-007	8.037982e-007
5.370317963702503e+000	8.570992e-007	8.037982e-007
5.495408738576220e+000	8.568853e-007	8.037982e-007
5.623413251903465e+000	8.566763e-007	8.037981e-007
5.754399373371542e+000	8.564718e-007	8.037981e-007
5.888436553555861e+000	8.562721e-007	8.037981e-007
6.025595860743549e+000	8.560768e-007	8.037981e-007
