Freq.	V(v-)	V(vout)
4.16869383470335e-002	(2.12587417827935e+001dB,4.72466415544310e-005°)	(1.19997364389312e+002dB,1.79999970082727e+002°)
4.26579518801592e-002	(2.12587417827876e+001dB,4.83471572128215e-005°)	(1.19997364389305e+002dB,1.79999969385865e+002°)
4.36515832240165e-002	(2.12587417827815e+001dB,4.94733071740109e-005°)	(1.19997364389299e+002dB,1.79999968672770e+002°)
4.46683592150962e-002	(2.12587417827741e+001dB,5.06256885376897e-005°)	(1.19997364389292e+002dB,1.79999967943065e+002°)
4.57088189614874e-002	(2.12587417827683e+001dB,5.18049123115685e-005°)	(1.19997364389285e+002dB,1.79999967196363e+002°)
4.67735141287197e-002	(2.12587417827622e+001dB,5.30116037359285e-005°)	(1.19997364389277e+002dB,1.79999966432268e+002°)
4.78630092322637e-002	(2.12587417827529e+001dB,5.42464026143844e-005°)	(1.19997364389270e+002dB,1.79999965650375e+002°)
4.89778819368445e-002	(2.12587417827452e+001dB,5.55099636538251e-005°)	(1.19997364389261e+002dB,1.79999964850269e+002°)
5.01187233627271e-002	(2.12587417827381e+001dB,5.68029568108227e-005°)	(1.19997364389253e+002dB,1.79999964031527e+002°)
5.12861383991364e-002	(2.12587417827276e+001dB,5.81260676477330e-005°)	(1.19997364389244e+002dB,1.79999963193714e+002°)
5.24807460249771e-002	(2.12587417827197e+001dB,5.94799976952498e-005°)	(1.19997364389234e+002dB,1.79999962336385e+002°)
5.37031796370252e-002	(2.12587417827114e+001dB,6.08654648250291e-005°)	(1.19997364389224e+002dB,1.79999961459087e+002°)
5.49540873857623e-002	(2.12587417827007e+001dB,6.22832036302864e-005°)	(1.19997364389214e+002dB,1.79999960561354e+002°)
5.62341325190348e-002	(2.12587417826905e+001dB,6.37339658147625e-005°)	(1.19997364389203e+002dB,1.79999959642710e+002°)
5.75439937337156e-002	(2.12587417826808e+001dB,6.52185205917816e-005°)	(1.19997364389192e+002dB,1.79999958702668e+002°)
5.88843655355588e-002	(2.12587417826697e+001dB,6.67376550919540e-005°)	(1.19997364389180e+002dB,1.79999957740729e+002°)
6.02559586074356e-002	(2.12587417826570e+001dB,6.82921747806151e-005°)	(1.19997364389167e+002dB,1.79999956756384e+002°)
6.16595001861481e-002	(2.12587417826447e+001dB,6.98829038846455e-005°)	(1.19997364389154e+002dB,1.79999955749111e+002°)
6.30957344480192e-002	(2.12587417826319e+001dB,7.15106858297195e-005°)	(1.19997364389141e+002dB,1.79999954718375e+002°)
6.45654229034654e-002	(2.12587417826175e+001dB,7.31763836874419e-005°)	(1.19997364389126e+002dB,1.79999953663631e+002°)
6.60693448007594e-002	(2.12587417826034e+001dB,7.48808806327058e-005°)	(1.19997364389111e+002dB,1.79999952584318e+002°)
6.76082975391980e-002	(2.12587417825897e+001dB,7.66250804125392e-005°)	(1.19997364389096e+002dB,1.79999951479865e+002°)
