Freq.	V(v-)	V(vout)
2.63026799189538e-002	(2.11464071531482e+001dB,1.05100666833225e-005°)	(1.19885029759671e+002dB,1.79999961822928e+002°)
2.69153480392691e-002	(2.11464071531425e+001dB,1.07548775861037e-005°)	(1.19885029759666e+002dB,1.79999960933670e+002°)
2.75422870333816e-002	(2.11464071531375e+001dB,1.10053908674600e-005°)	(1.19885029759661e+002dB,1.79999960023698e+002°)
2.81838293126445e-002	(2.11464071531330e+001dB,1.12617393527638e-005°)	(1.19885029759656e+002dB,1.79999959092531e+002°)
2.88403150312660e-002	(2.11464071531276e+001dB,1.15240589614284e-005°)	(1.19885029759650e+002dB,1.79999958139673e+002°)
2.95120922666638e-002	(2.11464071531219e+001dB,1.17924887787516e-005°)	(1.19885029759644e+002dB,1.79999957164621e+002°)
3.01995172040201e-002	(2.11464071531147e+001dB,1.20671711298221e-005°)	(1.19885029759638e+002dB,1.79999956166857e+002°)
3.09029543251359e-002	(2.11464071531094e+001dB,1.23482516548267e-005°)	(1.19885029759631e+002dB,1.79999955145852e+002°)
3.16227766016838e-002	(2.11464071531029e+001dB,1.26358793864068e-005°)	(1.19885029759624e+002dB,1.79999954101064e+002°)
3.23593656929628e-002	(2.11464071530958e+001dB,1.29302068286178e-005°)	(1.19885029759617e+002dB,1.79999953031941e+002°)
3.31131121482591e-002	(2.11464071530886e+001dB,1.32313900377297e-005°)	(1.19885029759610e+002dB,1.79999951937914e+002°)
3.38844156139202e-002	(2.11464071530808e+001dB,1.35395887050984e-005°)	(1.19885029759602e+002dB,1.79999950818404e+002°)
3.46736850452531e-002	(2.11464071530729e+001dB,1.38549662417605e-005°)	(1.19885029759594e+002dB,1.79999949672818e+002°)
3.54813389233575e-002	(2.11464071530635e+001dB,1.41776898650763e-005°)	(1.19885029759585e+002dB,1.79999948500547e+002°)
3.63078054770101e-002	(2.11464071530558e+001dB,1.45079306873213e-005°)	(1.19885029759576e+002dB,1.79999947300971e+002°)
3.71535229097172e-002	(2.11464071530446e+001dB,1.48458638066849e-005°)	(1.19885029759566e+002dB,1.79999946073453e+002°)
3.80189396320561e-002	(2.11464071530368e+001dB,1.51916683996273e-005°)	(1.19885029759556e+002dB,1.79999944817342e+002°)
3.89045144994280e-002	(2.11464071530259e+001dB,1.55455278164855e-005°)	(1.19885029759546e+002dB,1.79999943531973e+002°)
3.98107170553497e-002	(2.11464071530163e+001dB,1.59076296781001e-005°)	(1.19885029759535e+002dB,1.79999942216664e+002°)
4.07380277804112e-002	(2.11464071530042e+001dB,1.62781659757993e-005°)	(1.19885029759524e+002dB,1.79999940870717e+002°)
4.16869383470335e-002	(2.11464071529938e+001dB,1.66573331727418e-005°)	(1.19885029759512e+002dB,1.79999939493419e+002°)
4.26579518801592e-002	(2.11464071529816e+001dB,1.70453323085132e-005°)	(1.19885029759499e+002dB,1.79999938084040e+002°)
4.36515832240165e-002	(2.11464071529689e+001dB,1.74423691053221e-005°)	(1.19885029759486e+002dB,1.79999936641832e+002°)
4.46683592150962e-002	(2.11464071529546e+001dB,1.78486540774177e-005°)	(1.19885029759473e+002dB,1.79999935166030e+002°)
4.57088189614874e-002	(2.11464071529417e+001dB,1.82644026423378e-005°)	(1.19885029759458e+002dB,1.79999933655853e+002°)
4.67735141287197e-002	(2.11464071529281e+001dB,1.86898352357130e-005°)	(1.19885029759443e+002dB,1.79999932110499e+002°)
4.78630092322637e-002	(2.11464071529109e+001dB,1.91251774273964e-005°)	(1.19885029759428e+002dB,1.79999930529150e+002°)
4.89778819368445e-002	(2.11464071528949e+001dB,1.95706600417716e-005°)	(1.19885029759411e+002dB,1.79999928910966e+002°)
5.01187233627271e-002	(2.11464071528792e+001dB,2.00265192794147e-005°)	(1.19885029759394e+002dB,1.79999927255090e+002°)
5.12861383991364e-002	(2.11464071528598e+001dB,2.04929968432109e-005°)	(1.19885029759376e+002dB,1.79999925560643e+002°)
5.24807460249771e-002	(2.11464071528425e+001dB,2.09703400655689e-005°)	(1.19885029759357e+002dB,1.79999923826728e+002°)
5.37031796370252e-002	(2.11464071528243e+001dB,2.14588020402234e-005°)	(1.19885029759337e+002dB,1.79999922052424e+002°)
5.49540873857623e-002	(2.11464071528033e+001dB,2.19586417564009e-005°)	(1.19885029759317e+002dB,1.79999920236792e+002°)
5.62341325190348e-002	(2.11464071527821e+001dB,2.24701242356039e-005°)	(1.19885029759295e+002dB,1.79999918378868e+002°)
5.75439937337156e-002	(2.11464071527611e+001dB,2.29935206726645e-005°)	(1.19885029759272e+002dB,1.79999916477668e+002°)
5.88843655355588e-002	(2.11464071527380e+001dB,2.35291085793193e-005°)	(1.19885029759248e+002dB,1.79999914532183e+002°)
6.02559586074356e-002	(2.11464071527129e+001dB,2.40771719315257e-005°)	(1.19885029759223e+002dB,1.79999912541381e+002°)
6.16595001861481e-002	(2.11464071526876e+001dB,2.46380013196955e-005°)	(1.19885029759197e+002dB,1.79999910504208e+002°)
6.30957344480192e-002	(2.11464071526610e+001dB,2.52118941030785e-005°)	(1.19885029759170e+002dB,1.79999908419584e+002°)
6.45654229034654e-002	(2.11464071526325e+001dB,2.57991545673367e-005°)	(1.19885029759141e+002dB,1.79999906286402e+002°)
