Freq.	V(v-)	V(vout)
1.86208713666287e-002	(2.12612583217945e+001dB,3.35382773223329e-005°)	(1.19999880928018e+002dB,1.79999999070423e+002°)
1.90546071796325e-002	(2.12612583216196e+001dB,3.43194841572214e-005°)	(1.19999880928018e+002dB,1.79999999048770e+002°)
1.94984459975804e-002	(2.12612583215323e+001dB,3.51188876395008e-005°)	(1.19999880928018e+002dB,1.79999999026613e+002°)
1.99526231496888e-002	(2.12612583213574e+001dB,3.59369116253390e-005°)	(1.19999880928018e+002dB,1.79999999003940e+002°)
2.04173794466953e-002	(2.12612583213575e+001dB,3.67739898297535e-005°)	(1.19999880928018e+002dB,1.79999998980739e+002°)
2.08929613085404e-002	(2.12612583214450e+001dB,3.76305660916750e-005°)	(1.19999880928018e+002dB,1.79999998956997e+002°)
2.13796208950223e-002	(2.12612583213577e+001dB,3.85070945735915e-005°)	(1.19999880928018e+002dB,1.79999998932703e+002°)
2.18776162394955e-002	(2.12612583213578e+001dB,3.94040400269334e-005°)	(1.19999880928018e+002dB,1.79999998907842e+002°)
2.23872113856834e-002	(2.12612583214453e+001dB,4.03218780287132e-005°)	(1.19999880928018e+002dB,1.79999998882403e+002°)
2.29086765276777e-002	(2.12612583216203e+001dB,4.12610952246759e-005°)	(1.19999880928018e+002dB,1.79999998856370e+002°)
2.34422881531992e-002	(2.12612583217079e+001dB,4.22221895942137e-005°)	(1.19999880928018e+002dB,1.79999998829732e+002°)
2.39883291901949e-002	(2.12612583214456e+001dB,4.32056707361009e-005°)	(1.19999880928018e+002dB,1.79999998802473e+002°)
2.45470891568503e-002	(2.12612583213583e+001dB,4.42120600863524e-005°)	(1.19999880928018e+002dB,1.79999998774579e+002°)
2.51188643150958e-002	(2.12612583215333e+001dB,4.52418912564239e-005°)	(1.19999880928018e+002dB,1.79999998746035e+002°)
2.57039578276886e-002	(2.12612583212711e+001dB,4.62957102839881e-005°)	(1.19999880928018e+002dB,1.79999998716826e+002°)
2.63026799189538e-002	(2.12612583217085e+001dB,4.73740759073831e-005°)	(1.19999880928018e+002dB,1.79999998686937e+002°)
2.69153480392691e-002	(2.12612583214463e+001dB,4.84775598947454e-005°)	(1.19999880928018e+002dB,1.79999998656352e+002°)
2.75422870333816e-002	(2.12612583213590e+001dB,4.96067473218303e-005°)	(1.19999880928018e+002dB,1.79999998625055e+002°)
2.81838293126445e-002	(2.12612583217089e+001dB,5.07622369042855e-005°)	(1.19999880928018e+002dB,1.79999998593028e+002°)
2.88403150312660e-002	(2.12612583217091e+001dB,5.19446412933282e-005°)	(1.19999880928018e+002dB,1.79999998560256e+002°)
2.95120922666638e-002	(2.12612583216218e+001dB,5.31545874135099e-005°)	(1.19999880928018e+002dB,1.79999998526720e+002°)
3.01995172040201e-002	(2.12612583214471e+001dB,5.43927168288970e-005°)	(1.19999880928018e+002dB,1.79999998492403e+002°)
3.09029543251359e-002	(2.12612583215347e+001dB,5.56596859527835e-005°)	(1.19999880928018e+002dB,1.79999998457286e+002°)
3.16227766016838e-002	(2.12612583215349e+001dB,5.69561665890434e-005°)	(1.19999880928018e+002dB,1.79999998421352e+002°)
3.23593656929628e-002	(2.12612583214477e+001dB,5.82828461390640e-005°)	(1.19999880928018e+002dB,1.79999998384580e+002°)
3.31131121482591e-002	(2.12612583215353e+001dB,5.96404280201884e-005°)	(1.19999880928018e+002dB,1.79999998346952e+002°)
3.38844156139202e-002	(2.12612583215356e+001dB,6.10296320495296e-005°)	(1.19999880928018e+002dB,1.79999998308448e+002°)
3.46736850452531e-002	(2.12612583213609e+001dB,6.24511947958476e-005°)	(1.19999880928018e+002dB,1.79999998269047e+002°)
3.54813389233575e-002	(2.12612583217109e+001dB,6.39058699974139e-005°)	(1.19999880928018e+002dB,1.79999998228727e+002°)
3.63078054770101e-002	(2.12612583215363e+001dB,6.53944289303198e-005°)	(1.19999880928018e+002dB,1.79999998187469e+002°)
3.71535229097172e-002	(2.12612583214491e+001dB,6.69176608722279e-005°)	(1.19999880928018e+002dB,1.79999998145250e+002°)
3.80189396320561e-002	(2.12612583213619e+001dB,6.84763734254133e-005°)	(1.19999880928018e+002dB,1.79999998102047e+002°)
3.89045144994280e-002	(2.12612583216246e+001dB,7.00713930671475e-005°)	(1.19999880928018e+002dB,1.79999998057838e+002°)
3.98107170553497e-002	(2.12612583215374e+001dB,7.17035654762419e-005°)	(1.19999880928018e+002dB,1.79999998012599e+002°)
