frequency	V(onoise)	V(r1)	V(rl)
4.786300923226361e+001	8.235529e-007	8.134476e-007	1.286174e-007
4.897788193684438e+001	8.235135e-007	8.134087e-007	1.286112e-007
5.011872336272698e+001	8.234722e-007	8.133679e-007	1.286048e-007
5.128613839913624e+001	8.234291e-007	8.133252e-007	1.285980e-007
5.248074602497700e+001	8.233839e-007	8.132806e-007	1.285910e-007
5.370317963702501e+001	8.233365e-007	8.132338e-007	1.285836e-007
5.495408738576219e+001	8.232869e-007	8.131849e-007	1.285758e-007
5.623413251903463e+001	8.232350e-007	8.131336e-007	1.285677e-007
5.754399373371541e+001	8.231807e-007	8.130800e-007	1.285592e-007
5.888436553555861e+001	8.231238e-007	8.130237e-007	1.285503e-007
6.025595860743547e+001	8.230643e-007	8.129650e-007	1.285410e-007
6.165950018614791e+001	8.230019e-007	8.129034e-007	1.285313e-007
6.309573444801901e+001	8.229367e-007	8.128389e-007	1.285211e-007
6.456542290346522e+001	8.228683e-007	8.127714e-007	1.285105e-007
6.606934480075925e+001	8.227968e-007	8.127008e-007	1.284993e-007
6.760829753919782e+001	8.227219e-007	8.126268e-007	1.284876e-007
6.918309709189329e+001	8.226435e-007	8.125494e-007	1.284753e-007
7.079457843841342e+001	8.225615e-007	8.124683e-007	1.284625e-007
7.244359600749863e+001	8.224756e-007	8.123835e-007	1.284491e-007
7.413102413009136e+001	8.223857e-007	8.122947e-007	1.284351e-007
7.585775750291798e+001	8.222916e-007	8.122017e-007	1.284204e-007
7.762471166286876e+001	8.221930e-007	8.121044e-007	1.284050e-007
7.943282347242773e+001	8.220899e-007	8.120026e-007	1.283889e-007
8.128305161640949e+001	8.219820e-007	8.118959e-007	1.283720e-007
8.317637711026666e+001	8.218690e-007	8.117843e-007	1.283544e-007
8.511380382023719e+001	8.217507e-007	8.116675e-007	1.283359e-007
8.709635899560760e+001	8.216269e-007	8.115452e-007	1.283166e-007
8.912509381337408e+001	8.214974e-007	8.114173e-007	1.282963e-007
9.120108393559049e+001	8.213618e-007	8.112834e-007	1.282752e-007
9.332543007969861e+001	8.212199e-007	8.111432e-007	1.282530e-007
9.549925860214309e+001	8.210714e-007	8.109965e-007	1.282298e-007
9.772372209558054e+001	8.209159e-007	8.108429e-007	1.282055e-007
9.999999999999946e+001	8.207533e-007	8.106823e-007	1.281801e-007
1.023292992280749e+002	8.205830e-007	8.105142e-007	1.281535e-007
1.047128548050894e+002	8.204049e-007	8.103382e-007	1.281257e-007
1.071519305237600e+002	8.202185e-007	8.101541e-007	1.280966e-007
1.096478196143179e+002	8.200234e-007	8.099614e-007	1.280661e-007
1.122018454301957e+002	8.198193e-007	8.097598e-007	1.280343e-007
1.148153621496876e+002	8.196058e-007	8.095489e-007	1.280009e-007
1.174897554939523e+002	8.193823e-007	8.093282e-007	1.279660e-007
1.202264434617406e+002	8.191486e-007	8.090973e-007	1.279295e-007
1.230268770812374e+002	8.189040e-007	8.088557e-007	1.278913e-007
1.258925411794160e+002	8.186481e-007	8.086030e-007	1.278514e-007
1.288249551693126e+002	8.183804e-007	8.083385e-007	1.278095e-007
1.318256738556399e+002	8.181004e-007	8.080620e-007	1.277658e-007
1.348962882591646e+002	8.178075e-007	8.077727e-007	1.277201e-007
1.380384264602876e+002	8.175011e-007	8.074701e-007	1.276722e-007
1.412537544622746e+002	8.171807e-007	8.071536e-007	1.276222e-007
1.445439770745919e+002	8.168456e-007	8.068225e-007	1.275698e-007
1.479108388168199e+002	8.164951e-007	8.064764e-007	1.275151e-007
1.513561248436199e+002	8.161286e-007	8.061143e-007	1.274579e-007
1.548816618912472e+002	8.157453e-007	8.057358e-007	1.273980e-007
1.584893192461104e+002	8.153445e-007	8.053399e-007	1.273354e-007
1.621810097358920e+002	8.149256e-007	8.049261e-007	1.272700e-007
1.659586907437551e+002	8.144875e-007	8.044934e-007	1.272016e-007
1.698243652461734e+002	8.140295e-007	8.040411e-007	1.271301e-007
1.737800828749365e+002	8.135509e-007	8.035682e-007	1.270553e-007
1.778279410038912e+002	8.130505e-007	8.030740e-007	1.269772e-007
1.819700858609972e+002	8.125275e-007	8.025575e-007	1.268955e-007
1.862087136662856e+002	8.119810e-007	8.020177e-007	1.268101e-007
1.905460717963235e+002	8.114099e-007	8.014536e-007	1.267209e-007
1.949844599758033e+002	8.108132e-007	8.008642e-007	1.266277e-007
1.995262314968867e+002	8.101898e-007	8.002484e-007	1.265304e-007
2.041737944669516e+002	8.095384e-007	7.996051e-007	1.264287e-007
2.089296130854026e+002	8.088581e-007	7.989332e-007	1.263224e-007
2.137962089502218e+002	8.081477e-007	7.982314e-007	1.262115e-007
2.187761623949538e+002	8.074056e-007	7.974984e-007	1.260956e-007
2.238721138568325e+002	8.066309e-007	7.967332e-007	1.259746e-007
2.290867652767758e+002	8.058220e-007	7.959342e-007	1.258482e-007
2.344228815319906e+002	8.049775e-007	7.951001e-007	1.257164e-007
2.398832919019474e+002	8.040961e-007	7.942295e-007	1.255787e-007
2.454708915685014e+002	8.031763e-007	7.933210e-007	1.254351e-007
2.511886431509563e+002	8.022165e-007	7.923730e-007	1.252852e-007
2.570395782768846e+002	8.012152e-007	7.913839e-007	1.251288e-007
2.630267991895364e+002	8.001706e-007	7.903521e-007	1.249657e-007
2.691534803926897e+002	7.990812e-007	7.892762e-007	1.247955e-007
2.754228703338148e+002	7.979452e-007	7.881541e-007	1.246181e-007
2.818382931264435e+002	7.967608e-007	7.869842e-007	1.244331e-007
2.884031503126586e+002	7.955263e-007	7.857649e-007	1.242403e-007
2.951209226666366e+002	7.942397e-007	7.844941e-007	1.240394e-007
3.019951720401995e+002	7.928991e-007	7.831700e-007	1.238300e-007
3.090295432513569e+002	7.915027e-007	7.817906e-007	1.236120e-007
3.162277660168357e+002	7.900483e-007	7.803540e-007	1.233848e-007
3.235936569296260e+002	7.885338e-007	7.788582e-007	1.231483e-007
3.311311214825888e+002	7.869573e-007	7.773011e-007	1.229021e-007
3.388441561392002e+002	7.853167e-007	7.756805e-007	1.226459e-007
3.467368504525292e+002	7.836096e-007	7.739944e-007	1.223793e-007
3.548133892335729e+002	7.818340e-007	7.722406e-007	1.221020e-007
3.630780547700987e+002	7.799876e-007	7.704168e-007	1.218136e-007
3.715352290971698e+002	7.780681e-007	7.685209e-007	1.215138e-007
3.801893963205584e+002	7.760733e-007	7.665505e-007	1.212023e-007
3.890451449942777e+002	7.740007e-007	7.645034e-007	1.208786e-007
3.981071705534943e+002	7.718482e-007	7.623773e-007	1.205424e-007
4.073802778041097e+002	7.696135e-007	7.601700e-007	1.201934e-007
4.168693834703323e+002	7.672940e-007	7.578790e-007	1.198312e-007
4.265795188015895e+002	7.648876e-007	7.555021e-007	1.194554e-007
4.365158322401627e+002	7.623919e-007	7.530371e-007	1.190656e-007
4.466835921509598e+002	7.598045e-007	7.504815e-007	1.186615e-007
4.570881896148716e+002	7.571234e-007	7.478332e-007	1.182428e-007
4.677351412871947e+002	7.543460e-007	7.450898e-007	1.178091e-007
4.786300923226348e+002	7.514702e-007	7.422494e-007	1.173599e-007
4.897788193684425e+002	7.484939e-007	7.393095e-007	1.168951e-007
5.011872336272685e+002	7.454149e-007	7.362684e-007	1.164142e-007
5.128613839913610e+002	7.422312e-007	7.331237e-007	1.159170e-007
5.248074602497686e+002	7.389407e-007	7.298736e-007	1.154032e-007
5.370317963702487e+002	7.355417e-007	7.265163e-007	1.148723e-007
5.495408738576203e+002	7.320323e-007	7.230499e-007	1.143242e-007
5.623413251903447e+002	7.284108e-007	7.194729e-007	1.137587e-007
5.754399373371524e+002	7.246757e-007	7.157836e-007	1.131753e-007
5.888436553555844e+002	7.208254e-007	7.119805e-007	1.125740e-007
6.025595860743530e+002	7.168587e-007	7.080626e-007	1.119545e-007
6.165950018614773e+002	7.127745e-007	7.040285e-007	1.113167e-007
6.309573444801882e+002	7.085718e-007	6.998773e-007	1.106603e-007
6.456542290346504e+002	7.042497e-007	6.956083e-007	1.099853e-007
6.606934480075908e+002	6.998076e-007	6.912207e-007	1.092916e-007
6.760829753919763e+002	6.952451e-007	6.867141e-007	1.085790e-007
6.918309709189309e+002	6.905619e-007	6.820885e-007	1.078477e-007
7.079457843841321e+002	6.857581e-007	6.773436e-007	1.070974e-007
7.244359600749841e+002	6.808338e-007	6.724797e-007	1.063284e-007
7.413102413009113e+002	6.757895e-007	6.674972e-007	1.055406e-007
7.585775750291774e+002	6.706257e-007	6.623969e-007	1.047341e-007
7.762471166286852e+002	6.653435e-007	6.571794e-007	1.039092e-007
7.943282347242747e+002	6.599440e-007	6.518462e-007	1.030659e-007
8.128305161640923e+002	6.544285e-007	6.463984e-007	1.022046e-007
8.317637711026639e+002	6.487988e-007	6.408378e-007	1.013253e-007
8.511380382023692e+002	6.430568e-007	6.351662e-007	1.004286e-007
8.709635899560732e+002	6.372046e-007	6.293859e-007	9.951464e-008
8.912509381337379e+002	6.312447e-007	6.234990e-007	9.858385e-008
9.120108393559019e+002	6.251797e-007	6.175085e-007	9.763666e-008
9.332543007969830e+002	6.190126e-007	6.114170e-007	9.667352e-008
9.549925860214277e+002	6.127465e-007	6.052279e-007	9.569493e-008
9.772372209558022e+002	6.063849e-007	5.989443e-007	9.470141e-008
9.999999999999913e+002	5.999314e-007	5.925699e-007	9.369353e-008
1.023292992280745e+003	5.933897e-007	5.861086e-007	9.267190e-008
1.047128548050890e+003	5.867640e-007	5.795642e-007	9.163715e-008
1.071519305237597e+003	5.800586e-007	5.729411e-007	9.058994e-008
1.096478196143175e+003	5.732779e-007	5.662435e-007	8.953096e-008
1.122018454301953e+003	5.664264e-007	5.594761e-007	8.846094e-008
1.148153621496872e+003	5.595089e-007	5.526435e-007	8.738061e-008
1.174897554939519e+003	5.525303e-007	5.457505e-007	8.629073e-008
1.202264434617402e+003	5.454957e-007	5.388022e-007	8.519211e-008
1.230268770812370e+003	5.384100e-007	5.318036e-007	8.408552e-008
1.258925411794156e+003	5.312787e-007	5.247596e-007	8.297179e-008
1.288249551693122e+003	5.241068e-007	5.176757e-007	8.185172e-008
1.318256738556395e+003	5.168997e-007	5.105571e-007	8.072617e-008
1.348962882591641e+003	5.096628e-007	5.034090e-007	7.959595e-008
1.380384264602872e+003	5.024013e-007	4.962367e-007	7.846192e-008
1.412537544622741e+003	4.951208e-007	4.890455e-007	7.732489e-008
1.445439770745914e+003	4.878266e-007	4.818407e-007	7.618571e-008
1.479108388168193e+003	4.805238e-007	4.746276e-007	7.504521e-008
1.513561248436194e+003	4.732177e-007	4.674112e-007	7.390420e-008
1.548816618912467e+003	4.659136e-007	4.601967e-007	7.276348e-008
1.584893192461099e+003	4.586166e-007	4.529892e-007	7.162387e-008
1.621810097358915e+003	4.513315e-007	4.457935e-007	7.048613e-008
1.659586907437545e+003	4.440633e-007	4.386144e-007	6.935103e-008
1.698243652461728e+003	4.368167e-007	4.314568e-007	6.821931e-008
1.737800828749359e+003	4.295964e-007	4.243251e-007	6.709169e-008
1.778279410038906e+003	4.224069e-007	4.172238e-007	6.596887e-008
1.819700858609966e+003	4.152523e-007	4.101570e-007	6.485152e-008
1.862087136662849e+003	4.081371e-007	4.031291e-007	6.374030e-008
1.905460717963229e+003	4.010650e-007	3.961438e-007	6.263583e-008
1.949844599758026e+003	3.940400e-007	3.892050e-007	6.153871e-008
1.995262314968860e+003	3.870657e-007	3.823163e-007	6.044952e-008
2.041737944669509e+003	3.801456e-007	3.754811e-007	5.936877e-008
2.089296130854019e+003	3.732829e-007	3.687026e-007	5.829699e-008
2.137962089502211e+003	3.664807e-007	3.619839e-007	5.723468e-008
2.187761623949531e+003	3.597421e-007	3.553279e-007	5.618227e-008
2.238721138568317e+003	3.530696e-007	3.487373e-007	5.514020e-008
2.290867652767750e+003	3.464658e-007	3.422145e-007	5.410887e-008
2.344228815319898e+003	3.399331e-007	3.357620e-007	5.308863e-008
2.398832919019466e+003	3.334737e-007	3.293818e-007	5.207984e-008
2.454708915685005e+003	3.270896e-007	3.230761e-007	5.108281e-008
2.511886431509554e+003	3.207825e-007	3.168464e-007	5.009781e-008
2.570395782768837e+003	3.145542e-007	3.106945e-007	4.912512e-008
2.630267991895355e+003	3.084062e-007	3.046219e-007	4.816495e-008
2.691534803926887e+003	3.023397e-007	2.986299e-007	4.721753e-008
2.754228703338138e+003	2.963560e-007	2.927196e-007	4.628303e-008
2.818382931264424e+003	2.904560e-007	2.868920e-007	4.536161e-008
2.884031503126575e+003	2.846407e-007	2.811480e-007	4.445340e-008
2.951209226666354e+003	2.789107e-007	2.754884e-007	4.355854e-008
3.019951720401984e+003	2.732667e-007	2.699136e-007	4.267709e-008
3.090295432513557e+003	2.677092e-007	2.644243e-007	4.180915e-008
3.162277660168345e+003	2.622384e-007	2.590207e-007	4.095477e-008
3.235936569296248e+003	2.568547e-007	2.537030e-007	4.011397e-008
3.311311214825875e+003	2.515581e-007	2.484714e-007	3.928678e-008
3.388441561391989e+003	2.463487e-007	2.433259e-007	3.847321e-008
3.467368504525279e+003	2.412264e-007	2.382664e-007	3.767323e-008
3.548133892335716e+003	2.361909e-007	2.332928e-007	3.688682e-008
3.630780547700973e+003	2.312421e-007	2.284047e-007	3.611395e-008
3.715352290971684e+003	2.263796e-007	2.236018e-007	3.535455e-008
3.801893963205570e+003	2.216029e-007	2.188838e-007	3.460856e-008
3.890451449942763e+003	2.169116e-007	2.142500e-007	3.387590e-008
3.981071705534928e+003	2.123051e-007	2.097000e-007	3.315649e-008
4.073802778041082e+003	2.077828e-007	2.052332e-007	3.245022e-008
4.168693834703307e+003	2.033440e-007	2.008489e-007	3.175700e-008
4.265795188015879e+003	1.989880e-007	1.965463e-007	3.107670e-008
4.365158322401610e+003	1.947139e-007	1.923247e-007	3.040920e-008
4.466835921509581e+003	1.905210e-007	1.881832e-007	2.975438e-008
4.570881896148699e+003	1.864084e-007	1.841211e-007	2.911210e-008
4.677351412871929e+003	1.823752e-007	1.801374e-007	2.848222e-008
4.786300923226329e+003	1.784204e-007	1.762311e-007	2.786459e-008
4.897788193684407e+003	1.745432e-007	1.724014e-007	2.725906e-008
5.011872336272666e+003	1.707424e-007	1.686473e-007	2.666548e-008
5.128613839913590e+003	1.670171e-007	1.649678e-007	2.608369e-008
