frequency	V(onoise)	V(r1)
1.584893192461104e+001	8.607756e-007	8.142643e-007
1.621810097358920e+001	8.607079e-007	8.142643e-007
1.659586907437550e+001	8.606418e-007	8.142643e-007
1.698243652461734e+001	8.605771e-007	8.142643e-007
1.737800828749365e+001	8.605139e-007	8.142643e-007
1.778279410038912e+001	8.604521e-007	8.142643e-007
1.819700858609972e+001	8.603918e-007	8.142643e-007
1.862087136662855e+001	8.603328e-007	8.142643e-007
1.905460717963235e+001	8.602751e-007	8.142643e-007
1.949844599758032e+001	8.602188e-007	8.142643e-007
1.995262314968866e+001	8.601638e-007	8.142643e-007
2.041737944669515e+001	8.601099e-007	8.142643e-007
2.089296130854025e+001	8.600574e-007	8.142643e-007
2.137962089502218e+001	8.600060e-007	8.142643e-007
2.187761623949537e+001	8.599557e-007	8.142643e-007
2.238721138568324e+001	8.599067e-007	8.142643e-007
2.290867652767757e+001	8.598587e-007	8.142643e-007
2.344228815319906e+001	8.598118e-007	8.142643e-007
2.398832919019474e+001	8.597660e-007	8.142643e-007
2.454708915685013e+001	8.597212e-007	8.142643e-007
2.511886431509563e+001	8.596775e-007	8.142643e-007
2.570395782768846e+001	8.596347e-007	8.142643e-007
2.630267991895363e+001	8.595929e-007	8.142643e-007
2.691534803926897e+001	8.595521e-007	8.142643e-007
2.754228703338147e+001	8.595122e-007	8.142643e-007
2.818382931264434e+001	8.594732e-007	8.142643e-007
2.884031503126585e+001	8.594351e-007	8.142643e-007
2.951209226666364e+001	8.593979e-007	8.142643e-007
3.019951720401994e+001	8.593615e-007	8.142643e-007
3.090295432513568e+001	8.593260e-007	8.142643e-007
3.162277660168356e+001	8.592912e-007	8.142643e-007
3.235936569296258e+001	8.592572e-007	8.142643e-007
3.311311214825886e+001	8.592241e-007	8.142643e-007
3.388441561392000e+001	8.591916e-007	8.142643e-007
3.467368504525290e+001	8.591600e-007	8.142643e-007
3.548133892335728e+001	8.591290e-007	8.142643e-007
3.630780547700986e+001	8.590987e-007	8.142643e-007
3.715352290971697e+001	8.590691e-007	8.142643e-007
3.801893963205583e+001	8.590403e-007	8.142643e-007
3.890451449942776e+001	8.590120e-007	8.142643e-007
3.981071705534941e+001	8.589844e-007	8.142643e-007
4.073802778041095e+001	8.589575e-007	8.142643e-007
4.168693834703321e+001	8.589311e-007	8.142643e-007
4.265795188015893e+001	8.589054e-007	8.142643e-007
4.365158322401625e+001	8.588802e-007	8.142643e-007
4.466835921509595e+001	8.588556e-007	8.142643e-007
4.570881896148713e+001	8.588316e-007	8.142643e-007
4.677351412871944e+001	8.588082e-007	8.142643e-007
4.786300923226344e+001	8.587853e-007	8.142643e-007
4.897788193684422e+001	8.587628e-007	8.142643e-007
5.011872336272682e+001	8.587409e-007	8.142643e-007
5.128613839913606e+001	8.587195e-007	8.142643e-007
5.248074602497682e+001	8.586986e-007	8.142643e-007
5.370317963702482e+001	8.586782e-007	8.142643e-007
5.495408738576199e+001	8.586583e-007	8.142643e-007
5.623413251903443e+001	8.586388e-007	8.142643e-007
5.754399373371521e+001	8.586197e-007	8.142643e-007
5.888436553555840e+001	8.586011e-007	8.142643e-007
6.025595860743526e+001	8.585829e-007	8.142643e-007
6.165950018614769e+001	8.585652e-007	8.142643e-007
6.309573444801878e+001	8.585478e-007	8.142643e-007
6.456542290346499e+001	8.585308e-007	8.142643e-007
6.606934480075903e+001	8.585143e-007	8.142643e-007
6.760829753919759e+001	8.584981e-007	8.142643e-007
6.918309709189305e+001	8.584823e-007	8.142643e-007
7.079457843841317e+001	8.584668e-007	8.142643e-007
7.244359600749837e+001	8.584518e-007	8.142643e-007
7.413102413009111e+001	8.584370e-007	8.142643e-007
7.585775750291771e+001	8.584226e-007	8.142643e-007
7.762471166286849e+001	8.584085e-007	8.142643e-007
7.943282347242744e+001	8.583948e-007	8.142643e-007
8.128305161640920e+001	8.583814e-007	8.142643e-007
8.317637711026636e+001	8.583683e-007	8.142643e-007
8.511380382023688e+001	8.583555e-007	8.142643e-007
8.709635899560728e+001	8.583430e-007	8.142643e-007
8.912509381337374e+001	8.583307e-007	8.142643e-007
9.120108393559013e+001	8.583188e-007	8.142643e-007
9.332543007969824e+001	8.583071e-007	8.142642e-007
9.549925860214270e+001	8.582958e-007	8.142642e-007
9.772372209558016e+001	8.582847e-007	8.142642e-007
9.999999999999906e+001	8.582738e-007	8.142642e-007
1.023292992280745e+002	8.582632e-007	8.142642e-007
1.047128548050890e+002	8.582529e-007	8.142642e-007
1.071519305237596e+002	8.582428e-007	8.142642e-007
1.096478196143175e+002	8.582329e-007	8.142642e-007
1.122018454301953e+002	8.582233e-007	8.142642e-007
1.148153621496872e+002	8.582139e-007	8.142642e-007
1.174897554939518e+002	8.582047e-007	8.142642e-007
1.202264434617402e+002	8.581958e-007	8.142642e-007
1.230268770812370e+002	8.581870e-007	8.142642e-007
1.258925411794155e+002	8.581785e-007	8.142642e-007
1.288249551693122e+002	8.581702e-007	8.142642e-007
1.318256738556394e+002	8.581621e-007	8.142642e-007
1.348962882591640e+002	8.581542e-007	8.142642e-007
1.380384264602871e+002	8.581464e-007	8.142642e-007
1.412537544622740e+002	8.581389e-007	8.142642e-007
1.445439770745913e+002	8.581316e-007	8.142642e-007
1.479108388168193e+002	8.581244e-007	8.142642e-007
1.513561248436193e+002	8.581174e-007	8.142642e-007
1.548816618912466e+002	8.581106e-007	8.142642e-007
1.584893192461097e+002	8.581039e-007	8.142642e-007
1.621810097358913e+002	8.580975e-007	8.142642e-007
1.659586907437543e+002	8.580911e-007	8.142642e-007
1.698243652461727e+002	8.580849e-007	8.142642e-007
1.737800828749357e+002	8.580790e-007	8.142642e-007
1.778279410038904e+002	8.580731e-007	8.142642e-007
1.819700858609964e+002	8.580674e-007	8.142642e-007
1.862087136662848e+002	8.580619e-007	8.142642e-007
1.905460717963227e+002	8.580565e-007	8.142641e-007
1.949844599758025e+002	8.580512e-007	8.142641e-007
1.995262314968859e+002	8.580461e-007	8.142641e-007
2.041737944669508e+002	8.580412e-007	8.142641e-007
2.089296130854017e+002	8.580363e-007	8.142641e-007
2.137962089502209e+002	8.580316e-007	8.142641e-007
2.187761623949529e+002	8.580270e-007	8.142641e-007
2.238721138568316e+002	8.580226e-007	8.142641e-007
2.290867652767749e+002	8.580183e-007	8.142641e-007
2.344228815319897e+002	8.580141e-007	8.142641e-007
2.398832919019465e+002	8.580100e-007	8.142641e-007
2.454708915685004e+002	8.580061e-007	8.142641e-007
2.511886431509553e+002	8.580022e-007	8.142641e-007
2.570395782768836e+002	8.579985e-007	8.142640e-007
2.630267991895354e+002	8.579950e-007	8.142640e-007
2.691534803926887e+002	8.579915e-007	8.142640e-007
2.754228703338137e+002	8.579881e-007	8.142640e-007
2.818382931264423e+002	8.579848e-007	8.142640e-007
2.884031503126574e+002	8.579817e-007	8.142640e-007
2.951209226666354e+002	8.579787e-007	8.142640e-007
3.019951720401983e+002	8.579757e-007	8.142640e-007
3.090295432513557e+002	8.579729e-007	8.142639e-007
3.162277660168345e+002	8.579702e-007	8.142639e-007
3.235936569296247e+002	8.579676e-007	8.142639e-007
3.311311214825875e+002	8.579651e-007	8.142638e-007
3.388441561391988e+002	8.579626e-007	8.142638e-007
3.467368504525278e+002	8.579603e-007	8.142638e-007
3.548133892335715e+002	8.579581e-007	8.142638e-007
3.630780547700973e+002	8.579560e-007	8.142638e-007
3.715352290971684e+002	8.579539e-007	8.142638e-007
3.801893963205569e+002	8.579520e-007	8.142637e-007
3.890451449942762e+002	8.579502e-007	8.142637e-007
3.981071705534927e+002	8.579484e-007	8.142637e-007
4.073802778041081e+002	8.579468e-007	8.142637e-007
4.168693834703306e+002	8.579452e-007	8.142636e-007
4.265795188015877e+002	8.579437e-007	8.142636e-007
4.365158322401609e+002	8.579423e-007	8.142636e-007
4.466835921509579e+002	8.579411e-007	8.142636e-007
4.570881896148697e+002	8.579398e-007	8.142635e-007
4.677351412871927e+002	8.579387e-007	8.142635e-007
4.786300923226327e+002	8.579377e-007	8.142634e-007
4.897788193684405e+002	8.579368e-007	8.142634e-007
5.011872336272664e+002	8.579359e-007	8.142634e-007
5.128613839913588e+002	8.579351e-007	8.142633e-007
5.248074602497665e+002	8.579344e-007	8.142633e-007
5.370317963702464e+002	8.579338e-007	8.142632e-007
5.495408738576181e+002	8.579333e-007	8.142632e-007
5.623413251903425e+002	8.579328e-007	8.142632e-007
5.754399373371501e+002	8.579325e-007	8.142631e-007
5.888436553555820e+002	8.579322e-007	8.142630e-007
6.025595860743506e+002	8.579320e-007	8.142630e-007
6.165950018614748e+002	8.579318e-007	8.142630e-007
6.309573444801856e+002	8.579318e-007	8.142629e-007
6.456542290346476e+002	8.579318e-007	8.142629e-007
6.606934480075879e+002	8.579319e-007	8.142628e-007
6.760829753919735e+002	8.579320e-007	8.142628e-007
6.918309709189280e+002	8.579323e-007	8.142627e-007
7.079457843841292e+002	8.579325e-007	8.142626e-007
7.244359600749812e+002	8.579329e-007	8.142626e-007
7.413102413009084e+002	8.579333e-007	8.142625e-007
7.585775750291745e+002	8.579339e-007	8.142624e-007
7.762471166286822e+002	8.579344e-007	8.142624e-007
7.943282347242717e+002	8.579350e-007	8.142623e-007
8.128305161640892e+002	8.579357e-007	8.142623e-007
8.317637711026607e+002	8.579364e-007	8.142621e-007
8.511380382023659e+002	8.579372e-007	8.142621e-007
8.709635899560698e+002	8.579381e-007	8.142620e-007
8.912509381337344e+002	8.579390e-007	8.142619e-007
9.120108393558983e+002	8.579399e-007	8.142619e-007
9.332543007969792e+002	8.579408e-007	8.142618e-007
9.549925860214238e+002	8.579419e-007	8.142617e-007
9.772372209557982e+002	8.579430e-007	8.142616e-007
9.999999999999872e+002	8.579441e-007	8.142615e-007
1.023292992280741e+003	8.579452e-007	8.142615e-007
1.047128548050886e+003	8.579464e-007	8.142613e-007
1.071519305237592e+003	8.579476e-007	8.142613e-007
1.096478196143171e+003	8.579488e-007	8.142612e-007
1.122018454301949e+003	8.579501e-007	8.142611e-007
1.148153621496868e+003	8.579513e-007	8.142610e-007
1.174897554939514e+003	8.579526e-007	8.142609e-007
1.202264434617397e+003	8.579539e-007	8.142608e-007
1.230268770812365e+003	8.579552e-007	8.142607e-007
1.258925411794151e+003	8.579566e-007	8.142606e-007
1.288249551693117e+003	8.579579e-007	8.142605e-007
1.318256738556389e+003	8.579593e-007	8.142604e-007
1.348962882591635e+003	8.579606e-007	8.142603e-007
1.380384264602866e+003	8.579620e-007	8.142602e-007
1.412537544622735e+003	8.579633e-007	8.142601e-007
1.445439770745908e+003	8.579647e-007	8.142600e-007
1.479108388168187e+003	8.579660e-007	8.142599e-007
1.513561248436188e+003	8.579673e-007	8.142598e-007
1.548816618912460e+003	8.579686e-007	8.142597e-007
1.584893192461092e+003	8.579700e-007	8.142596e-007
1.621810097358908e+003	8.579713e-007	8.142595e-007
1.659586907437538e+003	8.579725e-007	8.142594e-007
1.698243652461721e+003	8.579738e-007	8.142593e-007
1.737800828749352e+003	8.579750e-007	8.142592e-007
1.778279410038899e+003	8.579763e-007	8.142591e-007
1.819700858609959e+003	8.579775e-007	8.142590e-007
1.862087136662842e+003	8.579786e-007	8.142588e-007
1.905460717963221e+003	8.579798e-007	8.142587e-007
1.949844599758018e+003	8.579809e-007	8.142586e-007
1.995262314968852e+003	8.579821e-007	8.142585e-007
2.041737944669501e+003	8.579831e-007	8.142584e-007
2.089296130854011e+003	8.579842e-007	8.142583e-007
2.137962089502203e+003	8.579852e-007	8.142582e-007
2.187761623949522e+003	8.579863e-007	8.142580e-007
2.238721138568309e+003	8.579872e-007	8.142579e-007
2.290867652767741e+003	8.579882e-007	8.142578e-007
2.344228815319890e+003	8.579892e-007	8.142576e-007
2.398832919019457e+003	8.579901e-007	8.142575e-007
2.454708915684996e+003	8.579910e-007	8.142574e-007
2.511886431509545e+003	8.579918e-007	8.142573e-007
2.570395782768828e+003	8.579927e-007	8.142571e-007
2.630267991895345e+003	8.579935e-007	8.142570e-007
2.691534803926878e+003	8.579944e-007	8.142569e-007
2.754228703338128e+003	8.579952e-007	8.142567e-007
2.818382931264414e+003	8.579960e-007	8.142566e-007
2.884031503126565e+003	8.579967e-007	8.142565e-007
2.951209226666344e+003	8.579975e-007	8.142563e-007
3.019951720401973e+003	8.579983e-007	8.142562e-007
3.090295432513546e+003	8.579990e-007	8.142560e-007
3.162277660168334e+003	8.579997e-007	8.142558e-007
3.235936569296236e+003	8.580005e-007	8.142557e-007
3.311311214825863e+003	8.580012e-007	8.142555e-007
3.388441561391976e+003	8.580019e-007	8.142553e-007
3.467368504525266e+003	8.580026e-007	8.142551e-007
3.548133892335703e+003	8.580033e-007	8.142550e-007
3.630780547700960e+003	8.580041e-007	8.142548e-007
3.715352290971671e+003	8.580047e-007	8.142546e-007
3.801893963205556e+003	8.580055e-007	8.142544e-007
3.890451449942748e+003	8.580062e-007	8.142542e-007
3.981071705534913e+003	8.580070e-007	8.142540e-007
4.073802778041067e+003	8.580077e-007	8.142537e-007
4.168693834703292e+003	8.580085e-007	8.142535e-007
4.265795188015863e+003	8.580093e-007	8.142533e-007
4.365158322401594e+003	8.580101e-007	8.142530e-007
4.466835921509563e+003	8.580109e-007	8.142528e-007
4.570881896148680e+003	8.580118e-007	8.142525e-007
4.677351412871911e+003	8.580126e-007	8.142522e-007
4.786300923226310e+003	8.580135e-007	8.142519e-007
4.897788193684387e+003	8.580145e-007	8.142516e-007
5.011872336272646e+003	8.580155e-007	8.142512e-007
5.128613839913570e+003	8.580165e-007	8.142509e-007
5.248074602497645e+003	8.580176e-007	8.142505e-007
5.370317963702444e+003	8.580187e-007	8.142502e-007
5.495408738576160e+003	8.580198e-007	8.142498e-007
5.623413251903404e+003	8.580210e-007	8.142494e-007
5.754399373371480e+003	8.580222e-007	8.142490e-007
5.888436553555798e+003	8.580236e-007	8.142486e-007
